"Source","Target","Weight"
"ao-raiffeisenbank-treasury-services","industrial-bank-of-korea-seoul-south-korea-kor",95779.6
"ap-anlage-und-privatbank-ag","azerpost-baku-azerbaijan-aze",22342241.22
"apex-clearing-corporation","wells-fargo-san-francisco-ca-usa",1065837.1
"arab-bank-for-investment","td-bank-na-cherry-hill-nj-usa",69500
"arab-bank-for-investment","td-bank-west-palm-beach-fl-usa",323400
"arab-bank-for-investment-foreign-trade","bank-of-america-na-new-york-ny-usa",7794147
"arab-bank-for-investment-foreign-trade","de-surinaamsche-bank-n-v-paramaribo-suriname-sur",500950
"arab-bank-for-investment-foreign-trade","deutsche-bank-aglondon-england-gbr",1160000
"arab-bank-for-investment-foreign-trade","industrial-and-commercial-bank-of-china-asia-ltd-hong-kong-hkg",6684390
"arab-bank-for-investment-foreign-trade","nanyang-commercial-bank-ltd-beijing-china-chn",11067775
"arab-bank-for-investment-foreign-trade","rbtt-bank-suriname-nv-paramaribo-suriname-sur",750000
"arab-turkish-bank","mashreqbank-psc-dubai-uae-are",98950
"aresbank","barclays-bank-plc-knightsbridge-united-kingdom-gbr",6750000
"armbusinessbank","ab-dnb-bankas-vilnius-lithuania-ltu",1e+05
"armswissbank-cjsc","seb-bank-tallinn-estonia-est",275002.16
"as-expo-bank","unicredit-bank-cjsc-moscow-russia-rus",2170000
"as-expobank","abn-amro-bank-nv-amsterdam-netherlands-nld",55180000
"as-expobank","abn-amro-clearing-bank-nv-amsterdam-netherlands-nld",9206000
"as-expobank","audi-private-bank-sal-beirut-lebanon-lbn",536792.25
"as-expobank","bank-audi-sal-beirut-lebanon-lbn",3994802
"as-expobank","bank-of-beirut-sal-beirut-lebanon-lbn",850800
"as-expobank","bank-otkritie-financial-corporation-moscow-russia-rus",11856945.53
"as-expobank","bank-soyuz-moscow-russia-rus",769834900
"as-expobank","bank-vozrozhdenie-moscow-russia-rus",2999584.19
"as-expobank","banksoyuz-moscow-russia-rus",1.8e+07
"as-expobank","credit-europe-bank-nv-amsterdam-netherlands-nld",1812263.4
"as-expobank","credit-suisse-ag-zurich-switzerland-che",888040730.6
"as-expobank","credit-suisse-singapore-branch-singapore-sgp",52420000
"as-expobank","cscbank-sal-beirut-lebanon-lbn",4e+05
"as-expobank","dbs-bank-ltd-singapore-sgp",2221631.96
"as-expobank","dbs-bank-ltd-singapore-singapore-sgp",4700000
"as-expobank","denizbank-as-istanbul-turkey-tur",7447499.15
"as-expobank","dms-bank-trust-ltd-georgetown-cayman-island-cym",2e+06
"as-expobank","far-eastern-bank-vladivostok-russia-rus",31482000
"as-expobank","ing-bank-eurasia-zao-moscow-russia-rus",8515338.14
"as-expobank","international-bank-of-st-petersburg-ibsp-st-petersburg-russia-rus",6400000
"as-expobank","kbl-european-private-bankers-sa-luxembourg-lux",1055229.52
"as-expobank","kuwait-turkish-participation-bk-inc-istanbul-turkey-tur",1745050
"as-expobank","metropolitan-bank-and-trust-co-manila-philippines-phl",10927.23
"as-expobank","nomos-bank-open-joint-stock-co-moscow-russia-rus",313991575.73
"as-expobank","pt-bank-central-asia-tbk-jakarta-indonesia-idn",5086.31
"as-expobank","rigensis-bank-as-riga-latvia-lva",3e+08
"as-expobank","rosbank-moscow-russia-rus",96658091.62
"as-expobank","rosbank-mosow-russia-rus",1e+07
"as-expobank","sb-sberbank-jsc-almaty-kazakhstan-kaz",6162913
"as-expobank","seb-bankas-vilnius-lithuania-ltu",5446480
"as-expobank","the-national-bank-of-ras-al-khaimah-ras-al-khaimah-uae-are",2600
